GUEST,SITE_URL,Introduction,Response,Acting Person,,Second Mentioned,Action,5 Love Languages (deprecate),
Brian Christian,https://www.joincolossus.com/episodes/91457599/christian-how-to-live-with-computers?tab=transcript,"My guest this week is Brian Christian, the author of two of my favorite recent books, Algorithms To Live By and The Most Human Human. Our conversation covers the present and future of how humans interact with and use computers. Brian's thoughts on the nature of intelligence and what it means to be human continue to make me think about what work and life will be like in the future. I hope you enjoy our conversation.","Brian: [00:57:41] The kindest thing that anyone has ever done for me. I want to offer some very concrete thing but I would have to think pretty seriously about that. What comes to my mind, is just the idea of being loved unconditionally by my parents. I think most of the difficult things that I've faced in my life in one form or other took the form of not being totally comfortable with who I was. Whether it was in school, feeling self-conscious about being a nerd, and not answering a question in class, even though I knew the answer because I sort of wanted to fit in or didn't want to seem like I was enthusiastic about school because it wasn't cool to act like that. Throughout my life, I think some of the most meaningful things to me have been ways that I've come to just accept who I am. And so I think one of the kindest things that you can do for someone is to see them exactly as they are and accept them and to be able to do that for oneself is tremendously powerful.",Parents,,Family,Unconditional love,,
Eric Sorensen,https://www.joincolossus.com/episodes/30393498/sorensen-how-quant-evolves?tab=transcript,"My guest this week is Eric Sorensen, the CEO of PanAgora Asset Management, which manages more than $46 billion for clients across a variety of strategies. Eric began his career serving in the Air Force as both a pilot and instructor in high-performance jet aircraft. He then accumulated 40 years of quantitative research and investment experience with a PhD along the way. Please enjoy our conversation on the changing landscape of quantitative investment strategies.
I thought we'd start all the way back. You have a unique background in that you spent some time in the Air Force. And one of my all-time favorite books is a book about John Boyd and sort of the OODA Loop and all the interesting things that he learned. And I know you were an instructor in the Air Force for awhile. And I would love to use that just a brief story of your time there and sort of the foundational lessons that created the springboard for the rest of your career from the Air Force.","Eric: [00:55:44] Really? Oh man, loved me unconditionally. That's a big term. That's a religious thing.",,,,Unconditional love,,
Jane McGonigal,https://www.joincolossus.com/episodes/18643055/mcgonigal-how-games-make-life-better?tab=transcript,"My guest this week is Jane McGonigal, who is a world-renowned designer of alternative reality games, or games that are designed to improve real lives and solve real problems. She's the author of Reality Is Broken: Why Games Make Us Better And How They Can Change The World; and is the inventor and co-founder of SuperBetter, a game that has helped nearly a million players tackle real life health challenges like depression, anxiety, chronic pain, and traumatic brain injury. Our conversation is about how to design useful games, how games affect us and our kids, and what the future might hold. Please enjoy.","Jane: [01:07:35] Oh my gosh. Oh my gosh. The kindest thing anyone has ever done for me. I mean, people are so kind. The thing that leaps to mind is such a simple thing. I was in Paris. I was in my early twenties, and I was sobbing hysterically over something stupid. Like, romance stuff. And I was just on a bench in Paris. I didn't know ... It was my first time I'd been there. I didn't know where anything was. Had to get to a train station. And somebody just walked over to me and asked if I was okay. And I said, ""Yes,"" and she said, ""Are you sure?"" And I said, ""Yes."" And she just sat down next to me. And she didn't try to talk to me, she didn't make me explain anything, but she just sat there. And I felt so safe and welcome by that city, in a way that, I mean, it could've happened on any street corner anywhere, but I'm so grateful to somebody seeing me in pain and wanting to know if I was okay. So I've always kind of make it a practice, if I see somebody in distress, to try to do that. It's one of the small things that, I don't know why that means, I mean, people have done much bigger things for me, but that touched me.",Stranger,,,Help in time of need,asked if she was ok and sat next to her while crying,
Bill Gurley,https://www.joincolossus.com/episodes/12224182/gurley-all-things-business-and-investing?tab=transcript,"My guest this week is Bill Gurley, a general partner at Benchmark Capital and one of my favorite investment thinkers. As you'll hear, despite enormous success through his career, Bill is clearly still in love with business and investing. Where many might discuss past glories, I've been incredibly impressed with how much Bill and his partners emphasize the current portfolio and market landscape. I'm thankful to have had the chance to speak with him in this format. I hope you enjoy our conversation.
So Bill, and as I just said, I'm totally ashamed that until this morning I had never heard the name Brian Arthur and never read his 1996 piece on increasing returns in business. And so I thought since it's fresh on my mind and I know it was influential for you that we'd start there with this idea of increasing returns, which really at the time flew in the face of much of economics, which was based on diminishing returns. Maybe you could talk about how you stumbled across this and the influence that it's had on your thinking.","Bill: [01:06:04] I mean, I had so many I probably mentioned three or four things. A guy named Al Jackson was head of research at Credit Suisse. I mean, he gave a kid from Texas the chance to come be a sell-side analyst and not like an assistant. I was covering Compaq, whatever, 24 months after I left Compaq as an engineer. He didn't have to do that, I was the only kid from anywhere near Texas in that starting class, all the stuff Mauboussin did, that move that Quattrone did and Winblad and John Hummer giving me my first chance as a venture capitalist, all those things are just super, super, super impactful to your career. And I go back to the, I don't know if Bobby Knight said it first, but we're luckiest where preparation meets opportunity. The more you can do to set up those types of outcomes, but nothing should take away from the impact that those gestures have had.",Boss,,,Took a chance,,
Jesse Livermore,https://www.joincolossus.com/episodes/31424450/livermore-the-search-for-the-truth-with-the-anonymous-master?tab=transcript,"This week, I have a very special guest years in the making. Like another favorite episode with anonymous guest, Modest Proposal. This conversation is with one of the stars of the financial Twitter universe who writes anonymously and goes by the pseudonym Jesse Livermore. I met Jesse six years ago after reading his unbelievable unique investor research, which tackled all the big and interesting issues in markets. He now also works with me as a research partner at OSAM, where he's used our data to continue his search for truth in markets. Despite being one of the brightest minds I've encountered, he's also as humble and unassuming as they come. I'm at least a slightly better person because of trying to emulate how he conducts himself. I get to have many conversations with him that go from zero to 100 fast, and I'm thrilled to be able to share one of those with you.
So Jesse, this is a long time coming. People are going to be excited for this one. My favorite of these conversations are often with people that are anonymous on Twitter, and you've got an interesting reason for being anonymous. We won't go into it, obviously. I'll start by saying you're not in the field of investing professionally and yet many consider you, to me, I certainly do, maybe one of the most thoughtful investing thinkers out there. So tell us your sort of investing origin story. How did you get interested in this topic given that it's not what you do professionally and what has fostered that interest and that love?","Jesse: [01:33:42] Yeah. So obviously, I'd be a fool not to come prepared for this one. So obviously I do want to caveat first, this is not an allowed answer, but I have to have to put my parents in there. They're just amazing parents. My mom and dad have basically been helpful at every stage of my life in terms of providing me whatever I needed, whether it was supporting me through grad school, through whatever else, just unbelievably good parents. Obviously, you're not allowed to use that answer because obviously that's everybody's answer, but this is, I guess interesting. And I thought about this. It's tough to answer because, I don't want to be cynical, but most of the time when people do things for you, they're doing them not because they, I want to say because they want something, but because they-Jesse: [01:34:20] Yeah, there's a self-interest component to it and it's hard to really sit to pretend like that's not there, right? It may be because they just like you and they like your friendship, but there's something that they like that they're getting for them. So I'll give you, I thought about this, and the example that I think is the best example. This isn't out of a storybook situation, but it's actually a pretty kind thing. So several years ago, I was basically looking to get a surgery for an injury and I was really stressed out about it, and I didn't know if it was the right move to make. And so what I did was, I was on this website called pubmed.com, which has like all the journal articles. So I went on there and I basically looked at... I was researching the injury, to see, ""Okay, what's the best way to get surgery for this"" 

And so this guy's name kept coming up, I'm not going to say who it was because he would get in trouble if I kept going. But I found the name of this guy who was like the top chief medical expert on this and the entire country, MD just the top pedal you could imagine, and he had had massive research. So I'm like, ""What's the risk?"" I found his email address, I sent an email to him, I sent him all of my, my information, right? X-ray stuff like that. And I tried to frame it in a way that hopefully, maybe he might just say something about what he thinks. And this guy, he comes back to me at night, apparently he was in bed or something like that 

He's on his iPad, it says, ""Sent from my iPad"". He sends me back this three-page write up of just, ""Hey, here's what you should do. Here's what I would try first. Here's some advice. Here's what I found in this study, that study. Here's... I'm like, ""Whoa, man. You don't even know who I am and you're taking on the risk."" Because it's not fully kosher to be doing that, to be talking to patients that you've never seen before and giving medical advice like that. He gave me everything and he actually helped me make a really good decision in that area by just basically providing me with free medical service, free medical care for nothing and in a way that actually was not only not a net positive, possibly a net negative. Because he's actually now taking a small amount of risk that, what if I don't like what happens and then I sue him, right?

I mean, that's something that I would be thinking about if I was a doctor. Like, ""Hell no, I'm not going to work for free and just give you an information"" out of the goodness of his heart. And it was really like, ""Wow, you are an awesome person."" And I would say further that, I think a lot of the best people in our society really are the people that work in medicine. If you think about surgeons, you think about doctors, they just... I don't know what it is, but my experiences with them have been very positive.",Doctor,,,Mentorship,,
Chuck Akre,https://www.joincolossus.com/episodes/42568501/akre-the-three-legged-stool?tab=transcript,"My guess today is Chuck Akre, a now widely famous investor, who founded Akre Capital Management in 1989, which now manages approximately $10 billion. We discuss his investing styles and his three-legged stool for evaluating companies. Please enjoy this great conversation.
So given that, Chuck, this is my first time here in Middelburg, I thought it would be a fun place to start with, the place where we're sitting. You've talked about the one traffic light town, as maybe an advantage. Something very different from the typical investor. Talk about Middelburg, why you're here and what you love about it?","Chuck: [00:46:20] Well, that's probably personal, so I won't share that.",,,,,,
Jerry Neumann,https://www.joincolossus.com/episodes/12128646/neumann-why-venture-is-hard?tab=transcript,"My guest this week is Jerry Neumann. Jerry is one of the most thoughtful early stage investors that I've encountered and his writings at reactionwheel.net are my favorite on this topic. He applies an incredibly structured way of thinking to a notoriously mysterious investment category. This is our second conversation in which we cover why investing with one's gut is a bad idea, and why some of the popular edges in startups like network effects may be picked over. Please enjoy our conversation.
So Jerry, for round two we will cover a whole lot of new things, even since we last talked a year and a half ago or whenever it was, a lot's changed in the world and the proliferation of venture capital as an interesting topic and just the number of people doing it has continued to grow. So I thought it would be fun to start there. You mentioned when you started doing this there was maybe 100, you literally counted, venture investors deploying money into markets, and now there's probably north of 1000. And this has a variety of implications for investors in these types of strategies and for the GPs themselves. So I'd love to walk through sort of your take on today's venture landscape, and the types of investments that VCs are making versus maybe the ones you're making and you think early stage investors should make.",Question not found,,,,,,
David Epstein,https://www.joincolossus.com/episodes/36728641/epstein-wide-or-deep?tab=transcript,"My guest this week is David Epstein. David is a writer and researcher extraordinaire and the author of two great books. His second, Range, is out today and I highly recommend it. We discuss the pros and cons of both the generalist and specialist mindsets in detail and go down many interesting trails along the way. Please enjoy our conversation.
So David, thanks for being here with me. We've got a whole ton to discuss, covering your two books and a lot of your other writing. I know you're interested in a million things. We're going to go all over the place.",Question not found,,,,,,
Priya Parker,https://www.joincolossus.com/episodes/65666223/parker-the-art-of-gathering?tab=transcript,"This week I'm hosting an investor retreat, and so thought it fitting to release this conversation with Priya Parker on The Art of Gathering. I've been interested in the topic of community and gathering for some time. And along with the book, The Art of Community, Priya's book on The Art of Gathering is by far the best I've read. There's both conceptually interesting and extremely practical. In the book there was literally a table for how big a gathering space should be per person sorted by the type of vibe that you're after. We had a time constraint, but I could've talked to Priya for much longer. I hope you enjoy our conversation as much as I did, and that it inspires you to do something new and different with friends, family, or colleagues.
So Priya this is a completely new topic for me, which is always these conversations that I enjoy most. We're going to talk about your book and the framework you lay out in it, but kind of go all over the place as well. I didn't know your background actually, prior to you sitting down. So Art of Gathering is the outgrowth of your professional career. Maybe it'd be interesting to start there with telling people what you do and why that lets you learn about this way of structuring people getting together.","Priya: [00:52:52] It's a lovely question. And I'm having a number of different things come up so I'll go with one that I haven't thought of in a while. It was a very simple moment. I mentioned the top of this conversation that I'm biracial and I'm also bicultural and bi-religious. And I grew up in these two households that believe radically different things, and many of their beliefs were in tension with one another. And one side is evangelical Christian. Then the other side was kind of Hindu, Buddhist, theosophist agnostic. And it was a real source of tension. And I felt at the center of that tension.I went to this summer camp, it was a Christian summer camp when I was... My parents had joint custody. So it was during my father's time of the year. And it was a canoe camp in West Virginia. And I had complicated relationship to the kind of exclusive elements of Christianity. And at one moment, camp counselor, who I loved, and always just seemed to have different interpretations of everything, including the Bible and Christianity, but was one of the strongest leaders in the camp and considered himself a very strong Christian. I saw this like a little image of a tattoo kind of poke out of his sleeve. And I could just see a little bit of it, but it's like really brightly colored. And I thought, that's interesting. I thought this was a Christian camp.And I asked him and I said, ""What is your tattoo of?"" And he looked at me and I could see that he hesitated. And then he looked at me and he just moved to the side and it was a tattoo of Shiva, a Hindu God. And I was shocked and also felt this deep peace. And I looked at him and he looked at me and he winked and he said something, ""Don't worry, it's all there."" And I just thought that for me, I spoke about a lot of my own challenges in these various Bible studies, so he knew where I was coming from. And to me that was a moment of deep kindness because he took a lot of risks. I think tattoos are probably against the code. There was probably a lot of people on the board that would be against those beliefs, but he saw a child that was confused and he, to me offered a moment of kindness that helped me.",Camp counselor,,,Vulnurable ,"church counselor showed that she had a tattoo, was vulnerable to child",
Stephanie Cohen,https://www.joincolossus.com/episodes/21478688/cohen-the-evolution-of-ma-and-corporate-strategy?tab=transcript,"My guest this week is Stephanie Cohen, who is the Chief Strategy Officer for Goldman Sachs and a member of their management committee. Prior to her current role, she spent the majority of her career in the investment banking and M&A divisions at Goldman. We discuss lessons learned from her career in M&A and the many initiatives she now leads at the firm. I really enjoyed her perspective on how a big, established firm like Goldman can balance innovation with improving existing businesses. Please enjoy our conversation.
You mentioned this idea of synergies. I'm very interested in the M&A side to know the pure and impure motives from both sides, acquirer and acquiree for doing these sorts of deals. So there's some literature that suggests that the average M&A deal is not good for the acquiring company? I'm curious to hear your thoughts on that, having been on the inside. That's a very like quant take, not a company by company take. So what do you think the right reasons are where the most value is created for a big, let's say, merger or acquisition? And then the second question will be, what are the wrong ways to do this?","Stephanie: [00:52:10] That is a super tough question because I feel really blessed. People have been very kind to me. I'm going to talk about my mom for a minute. So I was a competitive figure skater growing up. And of course, you only realized as much later, you don't realize this when you're eight years old. But me skating was a real sacrifice for my family in many ways. So I went at 5:45 in the morning, I got taken out of school, I went in the afternoon, and my mom did all that, and my dad too, without really ever saying anything, without talking to me about what she was giving out from a career perspective, from a monetary perspective. And then the other thing it was hard being a skater, standing in front of the judges, with the audience, all that is actually taxing on a young person, but they were super supportive of that and everything, all the drama and everything else that goes around it. And I think it's the most important thing I did. I think it's turned me into who I am today. So I'll always be grateful for that.",Mother,,Family,Sacrifice,,
Josh Wolfe,https://www.joincolossus.com/episodes/29288773/wolfe-the-tech-imperative?tab=transcript,"My guest this week is Josh Wolfe, co-founder and managing partner at Lux Capital. I had Josh on the podcast last year, which was one of the most popular episodes in the show's history. This is a continuation of our ongoing conversation about investing in the frontiers of technology. My favorite thing about Josh and the way that he invests is the mosaic that he and his team at Lux are constantly building to understand the world and where new companies may fit in. We cover a crazy variety of topics, from business model innovation, roles of a CEO, the military, the death of privacy, and arrows of human progress. Please enjoy round two with Josh Wolfe.",Question not found,,,,,,
Katherine Collins,https://www.joincolossus.com/episodes/97222595/collins-impact-and-esg-investing?tab=transcript,"My guest this week is Katherine Collins who's the head of the sustainable investing at Putnam Investments, a portfolio manager on two of Putnam sustainable investing funds, and the author of the book, The Nature of Investing: Resilient Investment Strategies through Biomimicry. Our conversation is on the ins and outs of ESG and impact investing, a young but increasingly common topic in the investing world. This is challenging ground for me as a quant because the data available is so new and limited, so Katherine's perspective was very helpful as we continue to learn. Given the importance of this topic, I'm also searching for guests with both positive and negative views on the role of ESG in the investing framework and welcome suggestions for future guests. Please enjoy my conversation with Katherine Collins.
So we'll spend a lot of time on your current investment process thinking, ESG, which is a topic that's become, I think, really important and interesting. Before we do that, I want to have this debate about mechanical versus human judgment processes. You already mentioned it earlier when you said, everyone's asking about tracking you in sectors and not about, what are you actually doing here? Maybe sum up your view on this, I think what you would characterize as an over mechanization of investing.","Katherine: [00:57:00] All right. I have a strategic one and a tactical one. I was so lucky to be born into my own family, so my parents gave me these two routes. We'd go to church every day when I was little, and so there was this route of kind of spirit that was very deeply set and then we'd go outside all the time. Every weekend, we were down at the Creek, we'd go see the hogs migrate. It was just a normal part of life and it's only later in life I'm realizing how important those two roots are for me and that a lot of folks don't have either at this point. So in my case, those have been the roots that have seen me through the toughest times. Then on the tactical side, we're both also great readers and I do think of books as actual, living friends sometimes, like a little bit over the top.

A friend of mine when I was moving and starting my job at Putnam and had a bunch of other changes in life made me the most amazing gift. It's a big jar and in the jar are quotes from all my favorite books in the world so that every day I can open up a quote and start the day with a friend.",Parents,,Family,Upbringing,,
Geoffrey Batt,https://www.joincolossus.com/episodes/14711328/batt-the-nature-of-transformational-returns?tab=transcript,"My guest this week is Geoffrey Batt and the topic of our conversation is how to earn transformational returns in very hard markets. In his case, that means Iraqi equities, which we cover in detail. He now runs a large pool of capital in Iraqi Stocks through his firm, Euphrates, but the journey was arduous to say the least. This is one of my favorite boots on the ground contrarian investment stories thus far in the podcast. I hope you enjoy the story and the lessons that Geoff has to offer.
So, Geoff, this is going to be certainly one of the more unique equity investing discussions that I've ever had, centered on investing in Iraq specifically. But before we spend a lot of our hour together on that topic, I want to frame this with the notion that we talked about on the phone. I think we'll call this episode the nature of transformational returns. In several places, you've talked a bit about what it takes to earn the kind of 25, 50X returns that massively change an investor's life. And however wants that, but the actual experience of getting it is massively hard and uncomfortable. So maybe you could frame our entire conversation with this simple idea of what it takes to earn transformational returns.",Geoffrey: [00:53:19] I played basketball in high school and it turns out that I'm the same age as Kobe Bryant and his high school was like a mile away from mine. So we were in the same league and we played a lot. My school played as well. We were on the same court as his team. And I'm sure it wasn't very competitive. People knew back then that he was going to be-,Peer,important in field,,Words of encouragement,Kobe bryant,
Brian Singerman,https://www.joincolossus.com/episodes/34530101/singerman-investing-in-the-best-founders?tab=transcript,"My guest this week is Brian Singerman, a partner at the venture capital firm, Founders Fund. Founders Fund is widely considered one of the top VC firms, and its partners are known to have diverse investment strategies. Brian invests across industries and focuses on backing exceptional founders. You'll hear right off the bat that he cares about moat, market, and strong execution. I love his point that the only way to become a good investor is to do a lot of investing. He describes himself as an investor who uses his gut a lot, which took me a while to get used to in our conversation. But I have to say that at the end of this episode, I felt refreshed and generally excited to keep putting in reps in my own way, both in the podcast and in quant research settings. I hope you enjoy our conversation.","Brian: [00:39:35] ... my grandmother loving me so much. My parents as well, but my grandmother recently passed and she was always just so nice and loving to me. So I think it's one of those things where you can't put a price on having a loving family between my parents and my grandparents. I was just so lucky with having that family base, and it's tough to put a price on it. And then you see when somebody doesn't have that and you're like, oh man, I wish I could level the playing field in that regard, but that is really difficult to do. So I don't know how something could be kinder than that from a personal relationship perspective if that makes sense.

From a business, the kindest thing. I don't know. There's not a lot of kindness in business. I do appreciate, just like any founder who remembers who their first investor is. Actually, let me give a little bit of a long-winded answer but it's important. Founders Fund 6, which is what we're currently investing out of, is a $1.4-something billion fund. So people are always asking, well, why is it important to do half a million-dollar investments out of that? And I always say it is critical for us to be still doing seed investments out of this fund, and the reason it is critical is first of all, they can have outside returns. It's fine. But also, founders know who their first money was, period. It's something that founders will always remember, who their first money was. They will tell all their friends like, ""Hey. These guys were my first money."" There's a special place in a founder's heart for their first money. Therefore, it is critical that we be first money and do seed investing not just for because we're nice or whatever, but for the future of our business, it is critical that we do that. So similarly, founders remember that, I always remember who took chances on me. And so from a business perspective, again, I come back to I met Sean just by talking about ... I was thinking about maybe I'll do VP of engineering at one of his companies. And he was like, ""Oh, no. You need to come here now,"" and was so sure of that and just pushed that through so quickly that from a business perspective, that was pretty awesome, and so I'll always remember that.",Grandmother,,Family,Love,,
Michael Mauboussin,https://www.joincolossus.com/episodes/13228134/mauboussin-the-four-sources-of-alpha?tab=transcript,"My guest this week for the third time is Michael Mauboussin. If there's a major question about markets and investing, Michael has usually written one of the best pieces of research on that topic. Today's conversation is a mix of several of his research pieces, but focuses on the sources of alpha. The framing of the conversation is the brilliant question, who is on the other side of a given trade. If you're buying, who is selling, and why? Knowing the answer to this question is one of the keys to understanding where excess return comes from. As is usual with Michael, we explore tons of other interesting ideas that will serve as food for thought. Please enjoy.
Michael, maybe a fun place to start this time, because we were talking about it before we hit record, is for you not to go into each vertical, but give the rough syllabus for the class that you teach, because these chunks, I think, represent a great way for people to think about building out their own market education. And then we're going to spend a lot of time talking about the sources of alpha today and valuation measures. But as framing, I think that the outline of the course would actually be a great place to start.",Question not found,,,,,,
Annie Duke,https://www.joincolossus.com/episodes/34891968/duke-wanna-bet?tab=transcript,"My guest this week is Annie Duke, and the topic of our discussion is how to improve decision-making. We break decisions down into their component parts, values, beliefs, decisions, randomness and outcomes. After diving into each, we discuss how to make better decisions, how to work in group settings and how to harness the power of tribes and identity to improve our behavior. Annie has thought about this topic as much as anyone and her methods for getting us to think in probabilities, and to stop evaluating decisions based on outcomes tainted by randomness will be useful for anyone listening. Please enjoy.","Annie: [01:04:28] I've had so much kindness in my life. I think if I have to pick like a isolated moment that doesn't have to do with the usual stuff... I'm trying to give you something other than the usual stuff because my husband is the kindest person. He is so kind to me that I'd have to write a book about the kind of.... He wins like all the kindest things. But I feel like that sort of in the normal category, so I'm going to give you something that's outside the norm, a very kind thing that somebody did for me that really had an impact. When I went to graduate school, I had an amazing advisor, Lila Gleitman, and I also worked with her husband, Henry Gleitman, but Henry's passed. And Lila was an incredibly important person in my life. She's brilliant and funny and incredible, and she was really like a mother to me. She wasn't just like my thesis advisor, she was really amazing.At the end of graduate school, as I was going out for my job talks, during the last year I've been struggling with this very bad stomach problem which we had discussed before and I was really sick. And I was going out for my first job talk at NYU and it just got to the point where I was so sick I just couldn't keep food down and I ended up in the hospital for two weeks, I had something called gastroparesis. So I was literally on an IV, it was pretty bad, I was really sick. So in academics, the job market is seasonal and so I had to cancel all of my job talks and then obviously I needed time to recover, it was a very bad time in my life. I felt like this was all very unlucky, which is a good lesson in itself because I think it was actually quite lucky that my life took that turn.So now I take time off from school and it's during that time that I start playing poker. So the thing about graduate school is that it's like five years of your life that you're putting this time in and I felt very keenly that this was time that these people had put into me and like a tremendous amount of effort that these people have put into me. And as I was kind of going through this physical crisis and I start playing poker, I think that I sort of felt this need to like escape from the world a little bit. And at that time poker was not on television, it wasn't until about eight years into when I was playing poker that it became on TV. So it was a very good vehicle for hiding from the world a little bit because I physically didn't feel well, and so I think that's kind of what I wanted to do.So part of that was that I sort of hid from them. I had some contact with them over the years, but not too much. And I have a probably overdeveloped feeling of shame in disappointing people, and so I really felt that, and then that caused a problem with me sort of continuing to interact with them. I carried through my whole life as I was having this flourishing poker career, and then about eight years into I was playing poker I actually started doing the academic work again through merging the two. In 2002 is when I started doing the work that you see in Thinking In Bets. I just always felt like I had really disappointed these people, and in particular, that I very much disappointed Lila, like really disappointed her. And I was very ashamed of it, I imagined that she was quite ashamed of me, and this was all kind of like this narrative that was living in my head.So we lose touch, really my fault, completely my fault because I think that I just carried around this sense of having failed so strongly that my fault I hide from her. So now this amazing thing happened. In 2012, I tore my bicep tendon. At this point, I've retired from poker, I've moved back to Philadelphia. And I'm in an orthopedist office and I look over and there's Lila. This is the kindest thing that's ever happened to me because I walk over and I sit down and I say, ""Hi, Lila, it's Annie."" And I think I use my maiden name, I think I said, ""It's Annie Lederer."" And it was just this awe and smile and ""Oh my God,"" and hug and sitting and talking. And then she just said, ""I'm so proud of you."" And we exchanged information and we have had lunch basically every three weeks ever since. And it's like I have this mom back.But it was that moment. She never said to me, why did you leave? Why did you stop contacting me? Why did you lose touch? She could have foisted so much on me about my not having maintained that relationship, and there was none of it. It was just, ""I'm so proud of you."" And that is absolutely the kindest thing that anybody has ever done for me.",Mentor,,,Encouragement,this mentor was her phd advisor,
Michael Mayer,https://www.joincolossus.com/episodes/20237359/mayer-pseudonymous-social-capital-and-bottomless-coffee?tab=transcript,"My guest this week is unique, and so requires a short story. I met our guest, Michael Mayer, because of Twitter. I followed and enjoyed one of several pseudonymous accounts that he maintains to experiment with ideas. His various accounts have wide followings. I think many of the best accounts on Twitter are anonymous or pseudonymous. And I've always made a point to get to know the ones that I like best.
As it turns out, Michael was also an entrepreneur. He'd been building a new company and was raising a small amount of outside capital. I didn't personally invest, in part, because he raised it so quickly after I spoke with him. Ever since I've gotten to know him better, I've followed his company Bottomless with interest. You know that I'm always hyper-transparent about any potential conflicts of interest so it's worth noting that while I'm not an investor in his company, I expect to be at some point in the future.","Michael: [01:06:02] Yeah. So, I spoke earlier about the importance of having people who genuinely want you to thrive. I didn't have a lot of people like that in my life up until I met my wife. I didn't actually know that was a thing. When she came into my life, I suddenly had this incentive because somebody else wanted me to do well. I think wanting somebody else to do well, regardless of how that reflects on you, is fundamentally kind. There's a lot of people in my life that have helped me. Obviously, I'm very appreciative of that. But there's very few truly selfless acts. A lot of people help you because it helps them. But truly, wanting somebody to thrive and do better is very selfless and is something that I'm truly thankful to have in my life.",Wife,,,Selflessness,,
Peter Zeihan,https://www.joincolossus.com/episodes/16497627/zeihan-the-future-of-geopolitics?tab=transcript,"My guest this week is Peter Zeihan. Peter is a geopolitical strategist who combines expertise in demography, economics, energy, politics, technology, and security to assess an uncertain future. Before founding his own strategy firm, Peter helped develop the analytical models for Stratfor, one of the world's premier private intelligence companies. I came across Peter via his great books, The Accidental Superpower and The Absent Superpower. We discuss America's changing place in the world and four additional countries poised to do well in the future. Spoiler alert, he believes the US is particularly well-positioned. While we don't discuss equity markets, per se, all of what we talk about will obviously impact companies across the world for the remainder of our careers. Please enjoy our conversation.
So Peter, this is a totally unorthodox conversation for me, given I'm normally talking about business and investing, but we're going to talk about sort of history, politics, geography, demographics, all sorts of interesting topics.","Peter: [01:06:59] I've been very fortunate, so I don't know if I can narrow it down to just one. But I'm a kid from small town Iowa who leads an international life now. That could not have happened without my parents who were teachers, without my high school guidance counselor who got me out of some very sticky situations, without some of the college professors that made it all possible, without Rotary who gave me my scholarship to travel internationally, without my former colleagues at Stratford who beat the crap out of every idea I've ever had and made them stronger. I know it's a little cliche to say it takes a village, but it really did take a village to raise this idiot.",Parents,,,Upbringing,also mentions teachers and college professors,
Michael Kitces,https://www.joincolossus.com/episodes/99475897/kitces-the-past-present-future-of-financial-advice?tab=transcript,"My guest this week is Michael Kitces, who is one of our industry's go-to experts on all things financial advice and financial planning. We discuss the past, present, and future of financial advice, financial technology, and investing. If you are a financial advisor or use one, this conversation is full of great history and perspective. Please enjoy.
I would love to begin with a sort of history, if you will, of the financial planning or advice model, If you could maybe tick the major stages of evolution that that model has gone through, and then we can begin by talking about where you think it might be going in the future.","Michael: [01:11:34] There's a gentleman in the industry named Bob Veres. Some folks in the advisor side will know him. He's published a practice management newsletter for the better part of I think almost 30 years now, a fantastic newsletter on financial advisor business and practice management. Back in the 2000s, like mid-2000s, I was starting to write articles in trade publications. I was doing retirement research and stuff on nerdy tax law and putting all that alphabet soup I was getting to good use. I kind of had this spark, this idea of Bob has this really successful business where he writes a newsletter, shares his expertise, and people pay him for it. It's pretty scalable, because it takes the same time to write the newsletter whether it's for 10 people, 100, 1,000, or more. Bob's made this work. I think I might try a newsletter business. Bob writes about practice management stuff. I'm going to write about nerdy planning strategies, because I was the planning nerd. I think I want to do this.I went and talked to Bob, just like, ""You are the guru. Am I nuts to try this business idea? Do you think there's something here? You've seen my articles, and you read a lot of stuff. Do you think I can do it?"" He said, ""Not only do I think you can do it, but I'm going to have my web developer make you a site and set up your technology using the same systems I use, so that you can get this launched and go do it."" He did. He did the whole thing. He covered it out of whatever his contractor agreement or whatever it is with his developer. He just stood up my first site, and got me launched, and then sent an email out to his mailing list saying, ""Michael Kitces has launched this cool newsletter. You like mine on practice management. He's on technical stuff. You're going to love it. Go sign up,"" and got me about 200 subscribers out of the gate.Standing up the website and giving me an initial base of subscribers wasn't a huge amount, that was probably $20,000 or $30,000 a year of revenue, but it was enough that paired together with some speaking and other stuff I was doing I was able to take that leap. Now, ultimately that morphed into my blog, and my blog morphed into a podcast, and that morphed into a whole bunch of businesses that I've created and all this other stuff that's come, but it all started with Bob Veres just not even giving me the initial nudge to go forward, but actually reaching out a hand and lifting me up to make it happen. It's part of why I've now been involved with starting up a lot of small businesses in our advisor space, just trying to seed good people that I think are doing good things that has a business opportunity and trying to give them the same hand up that Bob gave me.",Mentor,,,Promoted on platform,,
